timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T19:52:49.674143,FrodoKEM-640-AES,20,1304,99,0:46.95,46.94,0.0
2026-04-17T19:53:36.578062,FrodoKEM-640-AES,21,1488,99,0:46.90,46.89,0.0
2026-04-17T19:54:23.585668,FrodoKEM-640-AES,22,1488,99,0:47.00,46.99,0.0
2026-04-17T19:55:10.440896,FrodoKEM-640-AES,23,1416,99,0:46.85,46.84,0.0
2026-04-17T19:55:57.284826,FrodoKEM-640-AES,24,1488,99,0:46.84,46.83,0.0
2026-04-17T19:56:44.325953,FrodoKEM-640-AES,25,1540,99,0:47.03,47.02,0.0
2026-04-17T19:57:31.276897,FrodoKEM-640-AES,26,1488,99,0:46.94,46.93,0.0
2026-04-17T19:58:18.176107,FrodoKEM-640-AES,27,1432,99,0:46.89,46.87,0.01
2026-04-17T19:59:05.052002,FrodoKEM-640-AES,28,1432,99,0:46.87,46.86,0.0
2026-04-17T19:59:51.973826,FrodoKEM-640-AES,29,1488,99,0:46.91,46.91,0.0
2026-04-17T20:00:38.868803,FrodoKEM-640-AES,30,1488,99,0:46.89,46.88,0.0
2026-04-17T20:00:54.246148,SNTRUP761,1,1276,99,0:15.37,15.28,0.08
2026-04-17T20:01:09.566720,SNTRUP761,2,1268,99,0:15.31,15.24,0.07
2026-04-17T20:01:24.776878,SNTRUP761,3,1276,99,0:15.20,15.1,0.09
2026-04-17T20:01:39.985146,SNTRUP761,4,1276,99,0:15.20,15.11,0.09
2026-04-17T20:01:55.238444,SNTRUP761,5,1276,99,0:15.25,15.17,0.07
2026-04-17T20:02:10.499179,SNTRUP761,6,1276,99,0:15.25,15.16,0.09
2026-04-17T20:02:25.707451,SNTRUP761,7,1276,99,0:15.20,15.12,0.08
2026-04-17T20:02:40.959891,SNTRUP761,8,1276,99,0:15.24,15.16,0.08
2026-04-17T20:02:56.170482,SNTRUP761,9,1276,99,0:15.20,15.14,0.06
2026-04-17T20:03:11.379908,SNTRUP761,10,1268,99,0:15.20,15.14,0.06
2026-04-17T20:03:26.736478,SNTRUP761,11,1240,99,0:15.35,15.22,0.12
2026-04-17T20:03:42.059548,SNTRUP761,12,1260,99,0:15.32,15.23,0.08
2026-04-17T20:03:57.384284,SNTRUP761,13,1276,99,0:15.32,15.25,0.06
2026-04-17T20:04:12.704155,SNTRUP761,14,1276,99,0:15.31,15.2,0.11
2026-04-17T20:04:27.912989,SNTRUP761,15,1272,99,0:15.20,15.11,0.09
2026-04-17T20:04:43.250762,SNTRUP761,16,1276,99,0:15.33,15.24,0.08
2026-04-17T20:04:58.648514,SNTRUP761,17,1276,99,0:15.39,15.3,0.09
2026-04-17T20:05:13.900552,SNTRUP761,18,1276,99,0:15.24,15.16,0.08
2026-04-17T20:05:29.239261,SNTRUP761,19,1268,99,0:15.33,15.31,0.02
2026-04-17T20:05:44.491334,SNTRUP761,20,1276,99,0:15.24,15.18,0.06
2026-04-17T20:05:59.830672,SNTRUP761,21,1276,99,0:15.33,15.25,0.07
2026-04-17T20:06:15.166976,SNTRUP761,22,1276,99,0:15.33,15.3,0.02
2026-04-17T20:06:30.508908,SNTRUP761,23,1276,99,0:15.33,15.27,0.05
2026-04-17T20:06:45.760562,SNTRUP761,24,1268,99,0:15.24,15.16,0.07
2026-04-17T20:07:01.098279,SNTRUP761,25,1276,99,0:15.33,15.24,0.08
2026-04-17T20:07:16.350348,SNTRUP761,26,1276,99,0:15.24,15.16,0.08
2026-04-17T20:07:31.669670,SNTRUP761,27,1276,99,0:15.31,15.23,0.07
2026-04-17T20:07:46.923508,SNTRUP761,28,1276,99,0:15.25,15.14,0.09
2026-04-17T20:08:02.175597,SNTRUP761,29,1276,99,0:15.24,15.16,0.08
2026-04-17T20:08:17.427443,SNTRUP761,30,1276,99,0:15.24,15.17,0.07
2026-04-17T23:52:05.098082,Classic-McEliece-348864,1,1864,99,6:32.69,392.64,0.01
2026-04-17T23:58:51.743097,Classic-McEliece-348864,2,1876,99,6:46.64,406.59,0.0
2026-04-18T00:05:29.052081,Classic-McEliece-348864,3,1936,99,6:37.30,397.25,0.0
2026-04-18T00:12:06.807646,Classic-McEliece-348864,4,1860,99,6:37.75,397.7,0.01
2026-04-18T00:18:46.260564,Classic-McEliece-348864,5,1864,99,6:39.45,399.38,0.01
2026-04-18T00:25:28.591726,Classic-McEliece-348864,6,1876,99,6:42.32,402.27,0.01
2026-04-18T00:32:02.281440,Classic-McEliece-348864,7,1936,99,6:33.68,393.63,0.01
2026-04-18T00:38:34.222505,Classic-McEliece-348864,8,1864,99,6:31.93,391.88,0.0
2026-04-18T00:45:18.319020,Classic-McEliece-348864,9,1876,99,6:44.09,404.04,0.0
2026-04-18T00:51:47.885237,Classic-McEliece-348864,10,1936,99,6:29.56,389.52,0.0
2026-04-18T00:58:23.238225,Classic-McEliece-348864,11,1936,99,6:35.35,395.3,0.01
2026-04-18T01:04:59.623493,Classic-McEliece-348864,12,1876,99,6:36.38,396.33,0.0
2026-04-18T01:11:32.912078,Classic-McEliece-348864,13,1936,99,6:33.28,393.23,0.01
2026-04-18T01:18:03.144704,Classic-McEliece-348864,14,1936,99,6:30.23,390.18,0.01
2026-04-18T01:24:57.832095,Classic-McEliece-348864,15,1876,99,6:54.68,414.64,0.0
2026-04-18T01:31:43.425305,Classic-McEliece-348864,16,1876,99,6:45.59,405.54,0.0
2026-04-18T01:38:21.091696,Classic-McEliece-348864,17,1876,99,6:37.66,397.61,0.01
2026-04-18T01:44:48.102163,Classic-McEliece-348864,18,1876,99,6:27.00,386.96,0.01
2026-04-18T01:51:28.951820,Classic-McEliece-348864,19,1868,99,6:40.84,400.8,0.0
2026-04-18T01:58:24.967122,Classic-McEliece-348864,20,1936,99,6:56.01,415.96,0.0
2026-04-18T02:04:59.246882,Classic-McEliece-348864,21,1936,99,6:34.27,394.21,0.02
2026-04-18T02:11:32.511662,Classic-McEliece-348864,22,1936,99,6:33.26,393.22,0.0
2026-04-18T02:18:07.944523,Classic-McEliece-348864,23,1936,99,6:35.43,395.38,0.0
2026-04-18T02:24:45.725608,Classic-McEliece-348864,24,1860,99,6:37.77,397.73,0.0
2026-04-18T02:31:25.422326,Classic-McEliece-348864,25,1936,99,6:39.69,399.64,0.01
2026-04-18T02:38:08.855731,Classic-McEliece-348864,26,1876,99,6:43.43,403.37,0.01
2026-04-18T02:44:33.714060,Classic-McEliece-348864,27,1932,99,6:24.85,384.8,0.0
2026-04-18T02:51:19.130295,Classic-McEliece-348864,28,1936,99,6:45.41,405.36,0.0
2026-04-18T02:57:45.249481,Classic-McEliece-348864,29,1876,99,6:26.11,386.07,0.0
2026-04-18T03:04:08.106334,Classic-McEliece-348864,30,1936,99,6:22.85,382.8,0.01
