timestamp,algorithm,run,memory_kb,cpu_percent,elapsed_time,user_time,system_time
2026-04-17T22:19:59.600617,Falcon-1024,5,1604,99,0:54.81,54.81,0.0
2026-04-17T22:20:54.422351,Falcon-1024,6,1668,99,0:54.81,54.81,0.0
2026-04-17T22:21:50.907032,Falcon-1024,7,1588,99,0:56.48,56.47,0.0
2026-04-17T22:22:46.333432,Falcon-1024,8,1492,99,0:55.42,55.41,0.0
2026-04-17T22:23:41.736102,Falcon-1024,9,1668,99,0:55.40,55.39,0.0
2026-04-17T22:24:37.685053,Falcon-1024,10,1668,99,0:55.94,55.94,0.0
2026-04-17T22:25:33.409810,Falcon-1024,11,1588,99,0:55.72,55.71,0.0
2026-04-17T22:26:29.203102,Falcon-1024,12,1668,99,0:55.79,55.77,0.01
2026-04-17T22:27:24.499812,Falcon-1024,13,1668,99,0:55.29,55.28,0.0
2026-04-17T22:28:19.853025,Falcon-1024,14,1588,99,0:55.35,55.34,0.0
2026-04-17T22:29:15.388448,Falcon-1024,15,1492,99,0:55.53,55.51,0.0
2026-04-17T22:30:11.282233,Falcon-1024,16,1492,99,0:55.89,55.88,0.0
2026-04-17T22:31:06.235297,Falcon-1024,17,1592,99,0:54.95,54.94,0.0
2026-04-17T22:32:01.984459,Falcon-1024,18,1604,99,0:55.74,55.74,0.0
2026-04-17T22:32:57.621230,Falcon-1024,19,1668,99,0:55.63,55.62,0.0
2026-04-17T22:33:52.850119,Falcon-1024,20,1668,99,0:55.22,55.21,0.0
2026-04-17T22:34:46.836626,Falcon-1024,21,1604,99,0:53.98,53.97,0.0
2026-04-17T22:35:42.978340,Falcon-1024,22,1596,99,0:56.13,56.12,0.0
2026-04-17T22:36:37.899276,Falcon-1024,23,1604,99,0:54.91,54.9,0.0
2026-04-17T22:37:33.091653,Falcon-1024,24,1604,99,0:55.18,55.18,0.0
2026-04-17T22:38:28.204373,Falcon-1024,25,1664,99,0:55.11,55.1,0.0
2026-04-17T22:39:23.422460,Falcon-1024,26,1604,99,0:55.21,55.2,0.0
2026-04-17T22:40:19.203929,Falcon-1024,27,1492,99,0:55.77,55.77,0.0
2026-04-17T22:41:14.092438,Falcon-1024,28,1668,99,0:54.88,54.87,0.0
2026-04-17T22:42:08.950341,Falcon-1024,29,1668,99,0:54.85,54.84,0.0
2026-04-17T22:43:04.501889,Falcon-1024,30,1604,99,0:55.54,55.54,0.0
2026-04-17T22:44:19.797126,SPHINCS+-SHA2-128f-simple,1,1436,99,1:15.29,75.28,0.0
2026-04-17T22:45:35.249492,SPHINCS+-SHA2-128f-simple,2,1372,99,1:15.44,75.44,0.0
2026-04-17T22:46:50.698823,SPHINCS+-SHA2-128f-simple,3,1436,99,1:15.44,75.43,0.0
2026-04-17T22:48:06.478984,SPHINCS+-SHA2-128f-simple,4,1432,99,1:15.77,75.77,0.0
2026-04-17T22:49:22.031796,SPHINCS+-SHA2-128f-simple,5,1436,99,1:15.55,75.54,0.0
2026-04-17T22:50:37.136201,SPHINCS+-SHA2-128f-simple,6,1436,99,1:15.10,75.09,0.0
2026-04-17T22:51:55.401257,SPHINCS+-SHA2-128f-simple,7,1544,99,1:18.26,78.25,0.0
2026-04-17T22:53:10.826719,SPHINCS+-SHA2-128f-simple,8,1560,99,1:15.42,75.41,0.0
